If you choose to become intoxicated (in any form), we will be taking your car keys and ask that you camp overnight. This is the case for most people so it isn't a big deal. The road back to town is dark and windy at night and we don't want anyone driving back to town intoxicated and getting into an accident on 4th of July weekend.

It should also be noted that this is a dairy that is in full operation. There are cows, chickens, dogs, and turkeys. Please do not do anything to the animals or the property that would cause harm. Since there are animals on the property, there are also fences, barbed wire, and random bits of metal about. Please be careful, watch where you are walking, and bring good shoes. We will have lights setup around certain areas to prevent you from tripping or getting hurt. Thanks!
Date,Time,Time Zone,Gross Sales,Net Sales,Tax,Tip,Total Collected,Card,Cash,Fees,Net Total,Transaction ID,Description,Event Type,Location,Initial Fees,Fee Plan,Fee Percentage Rate,Fee Fixed Rate
2022-12-12,17:55:40,Mountain Time (US & Canada),$300.00,$300.00,$5.32,$0.00,$305.32,$305.32,$0.00,-$9.15,$296.17,GOwMU8Q3GhKpUY7pj1SDcYjeV,"4 x Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included., 4 x shipping (Regular)",Payment,Farm,-$9.15,Blended Rate,2.9,$0.30
2022-12-11,15:39:10,Mountain Time (US & Canada),$10.00,$10.00,$0.45,$0.00,$10.45,$0.00,$10.45,$0.00,$10.45,yBaKEa8z57oAIu5WKkIA6mjeV,"Fromage Blanc Garlic & Herb (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch, or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Vail,$0.00,,,
2022-12-11,15:35:03,Mountain Time (US & Canada),$10.00,$10.00,$0.45,$0.00,$10.45,$10.45,$0.00,-$0.37,$10.08,IWnMZdkDkBXEH7rElbIsuLAfV,"Feta, small (Regular)",Payment,Vail,-$0.37,Blended Rate,2.6,$0.10
2022-12-11,15:33:50,Mountain Time (US & Canada),$10.00,$10.00,$0.45,$0.00,$10.45,$10.45,$0.00,-$0.37,$10.08,KBEeiQkdczRjElHLTC5ZpXneV,"Fromage Blanc Green Chile (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Vail,-$0.37,Blended Rate,2.6,$0.10
2022-12-11,15:33:01,Mountain Time (US & Canada),$20.00,$20.00,$0.90,$0.00,$20.90,$20.90,$0.00,-$0.64,$20.26,WRH37esNlu3D4AYDFUUDiC9eV,"Fromage Blanc Garlic & Herb (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch, or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!, Fromage Blanc Green Chile (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Vail,-$0.64,Blended Rate,2.6,$0.10
2022-12-11,15:22:57,Mountain Time (US & Canada),$27.90,$27.90,$1.43,$0.00,$29.33,$29.33,$0.00,-$0.86,$28.47,2TEDalTX0pRlYKbUMtcspa5eV,"0.48 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise., 0.25 lb x Joe (Regular Price) - California style dry-jack cheese hand rubbed with a locally roasted coffee and cocoa powder., Custom Amount",Payment,Vail,-$0.86,Blended Rate,2.6,$0.10
2022-12-11,15:20:41,Mountain Time (US & Canada),$17.40,$17.40,$0.78,$0.00,$18.18,$18.18,$0.00,-$0.57,$17.61,kymSShhDgFaeiPaTlYcQfDheV,0.58 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Vail,-$0.57,Blended Rate,2.6,$0.10
2022-12-11,15:14:08,Mountain Time (US & Canada),$10.00,$10.00,$0.45,$0.00,$10.45,$10.45,$0.00,-$0.37,$10.08,AiDaFgpKk9N5RSI5vyjmwJweV,"Fromage Blanc Cranberry Walnut (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Vail,-$0.37,Blended Rate,2.6,$0.10
2022-12-11,15:08:57,Mountain Time (US & Canada),$6.00,$6.00,$0.44,$0.00,$6.44,$6.44,$0.00,-$0.27,$6.17,eBJhlYrVjlSkdoIkg5Q3Zo4eV,Custom Amount,Payment,Vail,-$0.27,Blended Rate,2.6,$0.10
2022-12-11,15:04:00,Mountain Time (US & Canada),$56.80,$56.80,$2.56,$0.00,$59.36,$59.36,$0.00,-$1.64,$57.72,8E52mINOlX3DKeZfR4tLNdfeV,"1.08 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise., 0.48 lb x Joe (Regular Price) - California style dry-jack cheese hand rubbed with a locally roasted coffee and cocoa powder., Fromage Blanc Cranberry Walnut (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Vail,-$1.64,Blended Rate,2.6,$0.10
2022-12-11,14:52:07,Mountain Time (US & Canada),$24.10,$24.10,$1.08,$0.00,$25.18,$25.18,$0.00,-$0.75,$24.43,Cv7RuXPVrrfl25dJ63QITTreV,"Feta, small (Regular), 0.47 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.",Payment,Vail,-$0.75,Blended Rate,2.6,$0.10
2022-12-11,14:51:39,Mountain Time (US & Canada),$14.70,$14.70,$0.66,$0.00,$15.36,$0.00,$15.36,$0.00,$15.36,QMGnruFSWpwjb6OTjbKupo6eV,0.49 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Vail,$0.00,,,
2022-12-11,14:43:51,Mountain Time (US & Canada),$10.00,$10.00,$0.45,$0.00,$10.45,$10.45,$0.00,-$0.37,$10.08,kCi84yghOvvZHJIhCc0r6qreV,"Fromage Blanc Garlic & Herb (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch, or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Vail,-$0.37,Blended Rate,2.6,$0.10
2022-12-11,14:36:50,Mountain Time (US & Canada),$17.10,$17.10,$0.77,$0.00,$17.87,$0.00,$17.87,$0.00,$17.87,wQGouMLUXkxAqoht4v3ODWkeV,0.57 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Vail,$0.00,,,
